vdot,intensity,distance_m,seconds
59,I,1000,205.0
59,I,1200,247.0
59,M,1000,239.0
59,M,1609.34,379.0
59,R,200,38.0
59,R,300,57.0
59,R,400,76.0
59,R,600,111.0
59,T,400,89.0
59,T,800,178.0
59,T,1000,223.0
59,T,1609.34,359.0
60,E,1000,275.0
60,E,1609.34,442.0
60,I,400,81.0
60,I,1000,203.0
60,I,1200,243.0
60,M,1000,232.0
60,M,1609.34,374.0
60,R,200,37.0
60,R,300,56.0
60,R,400,75.0
60,R,600,108.0
60,T,400,88.0
60,T,800,176.0
60,T,1000,220.0
60,T,1609.34,354.0
61,E,1000,271.0
61,E,1609.34,436.0
61,I,400,80.0
61,I,1000,200.0
61,I,1200,240.0
61,M,1000,229.0
61,M,1609.34,369.0
61,R,200,37.0
61,R,300,55.0
61,R,400,74.0
61,R,600,106.0
61,T,400,86.0
61,T,800,173.0
61,T,1000,217.0
61,T,1609.34,350.0
62,E,1000,267.0
62,E,1609.34,431.0
62,I,400,79.0
62,I,1000,197.0
62,I,1200,237.0
62,M,1000,226.0
62,M,1609.34,364.0
62,R,200,36.0
62,R,300,54.0
62,R,400,73.0
62,R,600,104.0
62,T,400,85.0
62,T,800,171.0
62,T,1000,214.0
62,T,1609.34,345.0
63,E,1000,264.0
63,E,1609.34,425.0
63,I,400,78.0
63,I,1000,195.0
63,I,1200,234.0
63,M,1000,223.0
63,M,1609.34,359.0
63,R,200,36.0
63,R,300,53.0
63,R,400,72.0
63,R,600,102.0
63,T,400,84.0
63,T,800,169.0
63,T,1000,212.0
63,T,1609.34,341.0
64,E,1000,261.0
64,E,1609.34,420.0
64,I,400,77.0
64,I,1000,192.0
64,I,1200,231.0
64,M,1000,220.0
64,M,1609.34,354.0
64,R,200,35.0
64,R,300,52.0
64,R,400,71.0
64,R,600,100.0
64,T,400,83.0
64,T,800,167.0
64,T,1000,209.0
64,T,1609.34,336.0
65,E,1000,258.0
65,E,1609.34,414.0
65,I,400,76.0
65,I,1000,190.0
65,I,1200,228.0
65,M,1000,217.0
65,M,1609.34,349.0
65,R,200,35.0
65,R,300,52.0
65,R,400,70.0
65,R,600,98.0
65,T,400,82.0
65,T,800,165.0
65,T,1000,206.0
65,T,1609.34,332.0
66,E,1000,254.0
66,E,1609.34,409.0
66,I,400,75.0
66,I,1000,188.0
66,I,1200,225.0
66,I,1609.34,300.0
66,M,1000,214.0
66,M,1609.34,345.0
66,R,200,34.0
66,R,300,51.0
66,R,400,69.0
66,R,600,96.0
66,T,400,81.0
66,T,800,163.0
66,T,1000,204.0
66,T,1609.34,328.0
67,E,1000,251.0
67,E,1609.34,404.0
67,I,400,74.0
67,I,1000,185.0
67,I,1200,222.0
67,I,1609.34,297.0
67,M,1000,211.0
67,M,1609.34,340.0
67,R,200,34.0
67,R,300,51.0
67,R,400,68.0
67,R,600,94.0
67,T,400,80.0
67,T,800,161.0
67,T,1000,201.0
67,T,1609.34,324.0
68,E,1000,248.0
68,E,1609.34,399.0
68,I,400,73.0
68,I,1000,183.0
68,I,1200,219.0
68,I,1609.34,293.0
68,M,1000,209.0
68,M,1609.34,336.0
68,R,200,33.0
68,R,300,50.0
68,R,400,67.0
68,R,600,92.0
68,T,400,79.0
68,T,800,159.0
68,T,1000,199.0
68,T,1609.34,320.0
69,E,1000,245.0
69,E,1609.34,395.0
69,I,400,72.0
69,I,1000,181.0
69,I,1200,216.0
69,I,1609.34,290.0
69,M,1000,206.0
69,M,1609.34,332.0
69,R,200,33.0
69,R,300,49.0
69,R,400,66.0
69,R,600,90.0
69,T,400,78.0
69,T,800,157.0
69,T,1000,196.0
69,T,1609.34,316.0
70,E,1000,242.0
70,E,1609.34,390.0
70,I,400,71.0
70,I,1000,179.0
70,I,1200,214.0
70,I,1609.34,286.0
70,M,1000,204.0
70,M,1609.34,328.0
70,R,200,32.0
70,R,300,48.0
70,R,400,65.0
70,R,600,89.0
70,T,400,77.0
70,T,800,155.0
70,T,1000,194.0
70,T,1609.34,313.0
71,E,1000,240.0
71,E,1609.34,386.0
71,I,400,70.0
71,I,1000,177.0
71,I,1200,211.0
71,I,1609.34,283.0
71,M,1000,201.0
71,M,1609.34,324.0
71,R,200,32.0
71,R,300,48.0
71,R,400,64.0
71,R,600,88.0
71,T,400,76.0
71,T,800,153.0
71,T,1000,192.0
71,T,1609.34,309.0
72,E,1000,237.0
72,E,1609.34,381.0
72,I,400,69.0
72,I,1000,175.0
72,I,1200,209.0
72,I,1609.34,280.0
72,M,1000,199.0
72,M,1609.34,320.0
72,R,200,31.0
72,R,300,47.0
72,R,400,63.0
72,R,600,87.0
72,T,400,76.0
72,T,800,152.0
72,T,1000,190.0
72,T,1609.34,305.0
73,E,1000,234.0
73,E,1609.34,377.0
