vdot,distance_m,seconds
60,1609.34,297.0
60,3000,590.0
60,3218.69,637.0
60,5000,1023.0
60,8000,1682.0
60,8045.47,1693.0
60,10000,2122.0
60,15000,3258.0
60,16093.4,3515.0
60,20000,4431.0
60,21097.5,4689.0
60,25000,5635.0
60,30000,6848.0
60,42195.0,9805.0
61,1500,271.0
61,1609.34,293.0
61,3000,581.0
61,3218.69,627.0
61,5000,1008.0
61,8000,1658.0
61,8045.47,1669.0
61,10000,2092.0
61,15000,3212.0
61,16093.4,3465.0
61,20000,4368.0
61,21097.5,4622.0
61,25000,5555.0
61,30000,6751.0
61,42195.0,9668.0
62,1500,267.0
62,1609.34,289.0
62,3000,573.0
62,3218.69,618.0
62,5000,994.0
62,8000,1635.0
62,8045.47,1645.0
62,10000,2063.0
62,15000,3167.0
62,16093.4,3416.0
62,20000,4307.0
62,21097.5,4557.0
62,25000,5478.0
62,30000,6657.0
62,42195.0,9534.0
63,1500,264.0
63,1609.34,285.0
63,3000,565.0
63,3218.69,610.0
63,5000,980.0
63,8000,1613.0
63,8045.47,1623.0
63,10000,2035.0
63,15000,3123.0
63,16093.4,3369.0
63,20000,4247.0
63,21097.5,4494.0
63,25000,5402.0
63,30000,6566.0
63,42195.0,9404.0
64,1500,260.0
64,1609.34,281.0
64,3000,557.0
64,3218.69,601.0
64,5000,967.0
64,8000,1592.0
64,8045.47,1601.0
64,10000,2008.0
64,15000,3081.0
64,16093.4,3323.0
64,20000,4190.0
64,21097.5,4433.0
64,25000,5329.0
64,30000,6477.0
64,42195.0,9278.0
65,1500,256.0
65,1609.34,277.0
65,3000,549.0
65,3218.69,593.0
65,5000,954.0
65,8000,1570.0
65,8045.47,1580.0
65,10000,1981.0
65,15000,3040.0
65,16093.4,3279.0
65,20000,4133.0
65,21097.5,4373.0
65,25000,5258.0
65,30000,6391.0
65,42195.0,9155.0
66,1500,253.0
66,1609.34,273.0
66,3000,542.0
66,3218.69,585.0
66,5000,942.0
66,8000,1550.0
66,8045.47,1559.0
66,10000,1955.0
66,15000,3000.0
66,16093.4,3236.0
66,20000,4079.0
66,21097.5,4316.0
66,25000,5189.0
66,30000,6308.0
66,42195.0,9036.0
67,1500,250.0
67,1609.34,270.0
67,3000,535.0
67,3218.69,577.0
67,5000,929.0
67,8000,1530.0
67,8045.47,1540.0
67,10000,1931.0
67,15000,2962.0
67,16093.4,3195.0
67,20000,4026.0
67,21097.5,4260.0
67,25000,5122.0
67,30000,6226.0
67,42195.0,8920.0
68,1500,246.0
68,1609.34,266.0
68,3000,528.0
68,3218.69,570.0
68,5000,918.0
68,8000,1511.0
68,8045.47,1520.0
68,10000,1906.0
68,15000,2924.0
68,16093.4,3154.0
68,20000,3974.0
68,21097.5,4205.0
68,25000,5056.0
68,30000,6147.0
68,42195.0,8807.0
69,1500,243.0
69,1609.34,263.0
69,3000,521.0
69,3218.69,563.0
69,5000,906.0
69,8000,1492.0
69,8045.47,1501.0
69,10000,1883.0
69,15000,2888.0
69,16093.4,3115.0
69,20000,3924.0
69,21097.5,4152.0
69,25000,4993.0
69,30000,6070.0
69,42195.0,8697.0
70,1500,240.0
70,1609.34,259.0
70,3000,514.0
70,3218.69,556.0
70,5000,895.0
70,8000,1474.0
70,8045.47,1483.0
70,10000,1860.0
70,15000,2852.0
70,16093.4,3076.0
70,20000,3876.0
70,21097.5,4101.0
70,25000,4931.0
70,30000,5995.0
70,42195.0,8590.0
71,1500,237.0
71,1609.34,256.0
71,3000,508.0
71,3218.69,549.0
71,5000,884.0
71,8000,1456.0
71,8045.47,1465.0
71,10000,1838.0
71,15000,2818.0
71,16093.4,3039.0
71,20000,3829.0
71,21097.5,4051.0
71,25000,4871.0
71,30000,5922.0
71,42195.0,8486.0
72,1500,234.0
72,1609.34,253.0
72,3000,502.0
72,3218.69,542.0
72,5000,873.0
72,8000,1439.0
72,8045.47,1448.0
72,10000,1816.0
72,15000,2784.0
72,16093.4,3002.0
72,20000,3783.0
72,21097.5,4002.0
72,25000,4813.0
72,30000,5851.0
72,42195.0,8384.0
73,1500,232.0
73,1609.34,250.0
73,3000,496.0
73,3218.69,535.0
73,5000,863.0
73,8000,1422.0
73,8045.47,1431.0
73,10000,1795.0
73,15000,2751.0
73,16093.4,2967.0
73,20000,3737.0
73,21097.5,3954.0
73,25000,4755.0
73,30000,5782.0
73,42195.0,8285.0
74,1500,229.0
74,1609.34,247.0
74,3000,490.0
74,3218.69,529.0
74,5000,853.0
74,8000,1406.0
74,8045.47,1414.0
74,10000,1774.0
74,15000,2719.0
74,16093.4,2932.0
74,20000,3694.0
74,21097.5,3908.0
74,25000,4700.0
74,30000,5714.0
74,42195.0,8189.0
75,1500,226.0
75,1609.34,244.0
75,3000,484.0
75,3218.69,523.0
75,5000,843.0
75,8000,1390.0
75,8045.47,1398.0
75,10000,1754.0
75,15000,2688.0
75,16093.4,2899.0
75,20000,3652.0
75,21097.5,3863.0
75,25000,4646.0
75,30000,5649.0
75,42195.0,8095.0
76,1500,224.0
76,1609.34,242.0
76,3000,478.0
76,3218.69,517.0
76,5000,834.0
76,8000,1375.0
76,8045.47,1383.0
76,10000,1735.0
76,15000,2658.0
76,16093.4,2866.0
76,20000,3610.0
76,21097.5,3819.0
76,25000,4593.0
76,30000,5585.0
76,42195.0,8003.0
77,1500,221.0
77,1609.34,238.0
77,3000,473.0
77,3218.69,511.0
77,5000,824.0
77,8000,1359.0
77,8045.47,1368.0
77,10000,1716.0
77,15000,2629.0
77,16093.4,2835.0
77,20000,3570.0
77,21097.5,3776.0
77,25000,4541.0
77,30000,5522.0
77,42195.0,7914.0
78,1500,218.8
78,1609.34,236.2
78,3000,468.0
78,3218.69,505.0
78,5000,815.0
78,8000,1344.0
78,8045.47,1352.0
78,10000,1697.0
78,15000,2600.0
78,16093.4,2804.0
78,20000,3531.0
78,21097.5,3735.0
78,25000,4492.0
78,30000,5462.0
78,42195.0,7827.0
79,1500,216.5
79,1609.34,233.7
79,3000,463.0
79,3218.69,500.0
79,5000,806.0
79,8000,1330.0
79,8045.47,1338.0
79,10000,1679.0
79,15000,2572.0
79,16093.4,2773.0
79,20000,3492.0
79,21097.5,3694.0
79,25000,4443.0
79,30000,5402.0
79,42195.0,7742.0
80,1500,214.2
80,1609.34,231.2
80,3000,457.5
80,3218.69,494.2
80,5000,798.0
80,8000,1316.0
80,8045.47,1324.0
80,10000,1661.0
80,15000,2545.0
80,16093.4,2744.0
80,20000,3454.0
80,21097.5,3654.0
80,25000,4395.0
80,30000,5344.0
80,42195.0,7658.0
81,1500,211.9
81,1609.34,228.7
81,3000,452.5
81,3218.69,488.9
81,5000,789.0
81,8000,1302.0
81,8045.47,1310.0
81,10000,1644.0
81,15000,2518.0
81,16093.4,2715.0
81,20000,3418.0
81,21097.5,3615.0
81,25000,4348.0
81,30000,5287.0
